DiseaseName,ConditionSNOMED,PathogenName,PathogenTaxonID,Fatalities,CountryName,CountryISO,Admin1Name,Admin1ISO,Admin2Name,CityName,PeriodStartDate,PeriodEndDate,PartOfCumulativeCountSeries,AgeRange,Subpopulation,PlaceOfAcquisition,DiagnosisCertainty,SourceName,CountValue
Anthrax,409498004,Bacillus anthracis,1392,0,UNITED STATES OF AMERICA,US,EASTERN MINNESOTA,US-WI,NA,NA,1/4/1942,1/10/1942,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,0
Anthrax,409498004,Bacillus anthracis,1392,0,UNITED STATES OF AMERICA,US,EASTERN MINNESOTA,US-WI,NA,NA,1/11/1942,1/17/1942,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,0
Anthrax,409498004,Bacillus anthracis,1392,0,UNITED STATES OF AMERICA,US,EASTERN MINNESOTA,US-WI,NA,NA,1/18/1942,1/24/1942,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,0
Anthrax,409498004,Bacillus anthracis,1392,0,UNITED STATES OF AMERICA,US,EASTERN MINNESOTA,US-WI,NA,NA,1/25/1942,1/31/1942,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,0
Anthrax,409498004,Bacillus anthracis,1392,0,UNITED STATES OF AMERICA,US,EASTERN MINNESOTA,US-WI,NA,NA,2/1/1942,2/7/1942,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,0
Anthrax,409498004,Bacillus anthracis,1392,0,UNITED STATES OF AMERICA,US,EASTERN MINNESOTA,US-WI,NA,NA,2/8/1942,2/14/1942,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,0
Anthrax,409498004,Bacillus anthracis,1392,0,UNITED STATES OF AMERICA,US,EASTERN MINNESOTA,US-WI,NA,NA,2/15/1942,2/21/1942,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,0
Anthrax,409498004,Bacillus anthracis,1392,0,UNITED STATES OF AMERICA,US,EASTERN MINNESOTA,US-WI,NA,NA,2/22/1942,2/28/1942,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,0
Anthrax,409498004,Bacillus anthracis,1392,0,UNITED STATES OF AMERICA,US,EASTERN MINNESOTA,US-WI,NA,NA,3/1/1942,3/7/1942,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,0
Anthrax,409498004,Bacillus anthracis,1392,0,UNITED STATES OF AMERICA,US,EASTERN MINNESOTA,US-WI,NA,NA,3/22/1942,3/28/1942,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,0
Anthrax,409498004,Bacillus anthracis,1392,0,UNITED STATES OF AMERICA,US,EASTERN MINNESOTA,US-WI,NA,NA,3/29/1942,4/4/1942,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,0
